Date,LONN.SE_0,SIKA.SE_0
2024-03-22,380.78141679461123,140.09993098313512
2024-03-25,386.4734231866475,141.54103936518325
2024-03-26,382.2671274203612,139.16604339899527
2024-03-27,378.8321693076689,141.55672109026324
2024-03-28,374.48058140786185,140.9386415885083
2024-04-02,376.5243011656688,140.82862142175028
2024-04-03,382.73683918599636,143.1337533154511
2024-04-04,376.20364941251904,139.61807934357407
2024-04-05,371.1154083401604,140.35911309535197
2024-04-08,371.3676687926818,143.70698596646312
2024-04-09,363.86888868832546,142.65813797796312
2024-04-10,366.5001545569165,143.9721890079732
2024-04-11,370.10103745960595,143.32196158834117
2024-04-12,369.1405212915748,142.23717945342585
2024-04-15,370.13178160352874,141.81670891164273
2024-04-16,362.96378497128234,137.28250798249275
2024-04-17,365.0171077282958,137.0595948917845
2024-04-18,362.6186906940149,134.56537067934502
2024-04-19,359.1622893503288,135.58583457198435
2024-04-22,362.94684316843706,135.82797607066962
2024-04-23,365.3458074970538,138.58662231601517
2024-04-24,362.43538861615247,137.55510677488118
2024-04-25,364.8340920096117,136.27071040603838
2024-04-26,357.9842356738947,132.22021268250205
2024-04-29,350.3723702593331,129.4998307850982
2024-04-30,348.3506723023503,129.8763822985536
2024-05-02,347.00064977956487,128.79691784754309
2024-05-03,346.4012514656035,128.90092931920285
2024-05-06,343.43253472992365,125.61278937936386
2024-05-07,345.78789049702414,125.59921376464396
2024-05-08,338.87293166184384,120.35143073660318
2024-05-10,339.8649526115209,119.72614508669788
2024-05-13,341.3492421393342,118.66473934299053
2024-05-14,340.9859729214435,118.61302545381312
2024-05-15,340.25481112225185,119.74030979765418
2024-05-16,334.3993461012356,119.20299122690582
2024-05-17,332.2688235306423,121.00549778945431
2024-05-21,326.440630214471,116.06589810075258
2024-05-22,327.38701273632626,116.52314598414138
2024-05-23,329.6732741858183,116.68075767343663
2024-05-24,324.14717313184184,113.70579231739052
2024-05-27,323.29628395019955,113.05609295054326
2024-05-28,320.3166858525742,112.6251039619155
2024-05-29,322.8129839426227,115.10225380191477
2024-05-30,323.9157205475419,114.10594954860251
2024-05-31,325.34676751368494,113.81205258644565
2024-06-03,323.0674297897782,114.21523397035918
2024-06-04,321.5586074002752,111.35789149127041
2024-06-05,325.24744286437,113.52973431766767
2024-06-06,327.4041397721763,113.75337851090697
2024-06-07,326.53802767927607,112.43285074564382
2024-06-10,327.37762368928855,112.73440893149753
2024-06-11,326.37602706500405,111.24152538297726
2024-06-12,323.53307094767683,109.06256792468471
2024-06-13,321.7563052612584,107.97804971532706
2024-06-14,321.9348358720333,107.96709046853542
2024-06-17,324.14980346552227,109.0119857224656
2024-06-18,321.104725460877,107.91818355284555
2024-06-19,315.81844527777315,104.80875320881897
2024-06-20,313.98077050330636,104.9339495558925
2024-06-21,316.81611328269116,104.21170695959825
2024-06-24,318.775489193807,104.1441643612166
2024-06-25,313.76365104504146,103.66427485212829
2024-06-26,317.44691698687154,103.8357976879454
2024-06-27,316.92928219192106,103.2857406827848
2024-06-28,312.7345866155912,103.2605950606786
2024-07-01,313.58722549663844,104.54476863443708
2024-07-02,309.71033187067167,101.36321213382315
2024-07-03,309.5960583511718,103.01527419638974
2024-07-04,309.41318583629857,103.78827836955577
2024-07-05,311.01798567886937,103.51720587394021
2024-07-08,307.4564465644672,103.12278046754756
2024-07-09,309.09523879993714,102.22811564996987
2024-07-10,309.6289063845414,102.49324437846856
2024-07-11,307.4511703914738,102.86626192103971
2024-07-12,311.7872256180969,104.31255682198056
2024-07-15,314.2398748571218,104.51120832206651
2024-07-16,314.8553143560913,107.01819890104866
2024-07-17,316.0659485200045,109.9626524425695
2024-07-18,313.871961130308,108.54386654528268
2024-07-19,313.09028589133356,109.79012692020434
2024-07-22,311.9634250138937,110.25731908191085
2024-07-23,312.5185812061784,110.91542262936588
2024-07-24,317.18182593902327,113.37224111770814
2024-07-25,315.20001178068003,114.51460332493981
2024-07-26,315.64213794173133,114.13024238457048
2024-07-29,315.43996131472056,113.27053179398337
2024-07-30,317.5665603879757,115.2024868926985
