Date,LONN.SE,SIKA.SE
2024-03-04,426.38848962550856,233.20794897071636
2024-03-05,416.39230586502,230.29469778233783
2024-03-06,420.6697788817727,229.67693443537993
2024-03-07,416.89535431576036,221.47827159715928
2024-03-08,419.68164710723096,215.11749952023774
2024-03-11,421.11816128546536,223.8305265768262
2024-03-12,423.8992704003838,219.8450242247271
2024-03-13,436.96296360778786,231.96233233378143
2024-03-14,450.3702454438919,234.3426361257728
2024-03-15,459.6552329069459,240.2806102401567
2024-03-18,473.038880905589,232.50378806727608
2024-03-19,469.36824807267135,235.8940715403201
2024-03-20,465.83544656831145,232.16687712427762
2024-03-21,458.7391455452373,224.2876864769169
2024-03-22,456.3620555369615,226.13049419046504
2024-03-25,456.87473484770925,237.3390639716369
2024-03-26,449.8054796792105,234.6692647468418
2024-03-27,464.9261279765758,239.8150204684779
