Date,LONN.SE,SIKA.SE
2024-02-21,415.63165893758446,169.02573315417226
2024-02-22,418.1458822165136,170.83610646318533
2024-02-23,413.9372923420513,169.6478516564211
2024-02-26,405.2211004824735,166.52863147964652
2024-02-27,415.8435251576685,169.7581357027454
2024-02-28,403.44186352609415,168.71033363053374
2024-02-29,395.46536179870907,166.6376085023628
2024-03-01,397.8977731604888,169.68926420526267
2024-03-04,394.63376058705165,170.76101015738533
2024-03-05,404.1226080866512,174.26830860586233
2024-03-06,403.40169674259135,174.00153845708465
2024-03-07,393.59143675253637,170.5451488550961
2024-03-08,390.4796010491646,170.2280737448731
2024-03-11,383.1182142662865,168.58349497797465
2024-03-12,385.9222361381358,168.0964135031785
2024-03-13,386.0599373784437,170.21562883409516
2024-03-14,387.8867226737708,169.345221161318
2024-03-15,390.3253043464385,166.74606416876918
2024-03-18,395.31549098880083,167.22052371181863
2024-03-19,392.3273658096112,163.90111589434147
2024-03-20,382.94846651380755,164.81400240419046
2024-03-21,382.85303815781657,164.8806796749282
2024-03-22,378.6888379208872,166.3541078186729
2024-03-25,393.188822174639,163.80836976582398
2024-03-26,394.26693878008217,168.4945150005966
2024-03-27,387.99646782630754,166.67601906104662
2024-03-28,381.07700063854463,164.66327411072098
2024-04-02,379.6909033123824,168.26377878219736
2024-04-03,383.7312714031916,172.5490767525014
2024-04-04,384.1361112606512,171.36725584680997
2024-04-05,385.5106166915216,168.32508721157288
2024-04-08,382.5695188686725,163.88764738004264
2024-04-09,379.4926357896279,164.53499517950686
2024-04-10,379.79837464005226,165.63255998308185
2024-04-11,397.4383378479806,168.34612220575596
2024-04-12,408.54446180174676,170.5136071963124
2024-04-15,420.4996936791555,175.27750778025072
2024-04-16,422.78823578978563,174.69539344722986
2024-04-17,419.2014142381442,171.79898057943802
2024-04-18,436.2839425903111,178.34295499630338
2024-04-19,440.9310425059945,179.5903225739489
2024-04-22,433.8150349083008,178.8750105918001
2024-04-23,436.65220095126784,176.97787471035727
2024-04-24,429.6025439950721,171.2639750562592
2024-04-25,441.071049107782,174.15413435339505
2024-04-26,446.1713588748329,173.98236987265366
2024-04-29,451.16039977211807,179.07564095231263
2024-04-30,458.6905729563493,182.5025989414135
2024-05-02,447.624313780348,176.35783423367235
2024-05-03,444.11455555843514,172.60859603357414
2024-05-06,435.53087983455634,174.60770855663012
2024-05-07,448.54697054752864,173.54194066952567
2024-05-08,446.4094561546534,170.94581703144115
2024-05-10,440.0601110561021,172.00235093948604
2024-05-13,444.277794434222,172.28190222102214
2024-05-14,444.90921785483334,171.62663490919655
2024-05-15,445.5044684766506,171.16965719806024
2024-05-16,443.87753670081975,169.7847807614265
2024-05-17,453.6704554417135,165.83642786269704
2024-05-21,465.18279203431405,167.25273563317518
2024-05-22,451.6775904661581,165.5397535718599
2024-05-23,438.2394726329632,165.86487926417428
2024-05-24,442.04212036134095,163.2789789450893
2024-05-27,442.9185506232226,160.5866846887569
2024-05-28,445.6326360736974,163.10418520502304
2024-05-29,426.62619182972395,156.9326670721176
2024-05-30,429.76785829681506,157.5668451765902
2024-05-31,427.3860878907495,154.01620849068374
2024-06-03,441.11362002166607,156.7511217223763
2024-06-04,439.1098575853102,154.78510763088377
2024-06-05,441.9564352860541,155.977580405193
2024-06-06,441.80971299229003,154.6542724437773
2024-06-07,434.77404002609603,151.6312337282457
2024-06-10,437.5189811786991,157.75233034747765
2024-06-11,436.22268076333387,158.44459165167018
2024-06-12,440.1535369405186,161.53580519612478
2024-06-13,443.54530167907456,161.80384625542465
2024-06-14,438.8295826865693,160.486163378164
2024-06-17,439.8617708249191,164.20335135111597
2024-06-18,434.5566867154667,165.31643124544297
2024-06-19,443.68700840421855,167.11423808585275
2024-06-20,455.58719299400195,172.07575958148638
2024-06-21,459.32852688289165,172.29233303497443
2024-06-24,455.77617605293165,170.1046161378483
2024-06-25,452.3333734374627,171.86504300930602
2024-06-26,461.7231280493433,177.08228522008656
2024-06-27,460.45785604346946,176.36200895225443
2024-06-28,466.89756191132346,178.99032883884553
2024-07-01,479.816958129743,180.00297718778384
2024-07-02,491.06704884389575,184.83844542516388
2024-07-03,502.7505695788866,187.98930078247804
2024-07-04,479.52299835605083,180.6667071226898
2024-07-05,492.4180588993516,181.56624271733222
2024-07-08,502.23753091179344,179.70134927361582
2024-07-09,496.8916264561938,177.03370997768712
2024-07-10,490.0919892958312,178.7526830452112
2024-07-11,483.2536649376103,172.57792543604884
2024-07-12,492.92112755736207,169.15700938113454
2024-07-15,468.31889014604985,168.96023480760033
2024-07-16,457.19198760095134,165.40672989887506
2024-07-17,470.1561474157728,167.81228661353887
2024-07-18,466.7397300522502,164.4366236058875
2024-07-19,455.3931027420507,161.37551073219967
2024-07-22,449.0120264271252,159.59887624219402
2024-07-23,458.8224542502304,156.25158479634075
2024-07-24,460.53817465690423,156.40900075717033
2024-07-25,451.55146510142055,151.92261419093538
2024-07-26,447.37212006363677,147.56660119963627
2024-07-29,448.3637796883571,144.9467022780783
2024-07-30,451.38004735167544,145.8617401365457
