Date,LONN.SW,SIKA.SW
2024-02-02,491.70100865223696,295.3234897045234
2024-02-05,490.05878634014886,294.54331197355157
2024-02-06,499.8492595127682,294.46358012182367
2024-02-07,506.93368123469133,293.15541602214273
2024-02-08,502.1936580708779,292.01800821531725
2024-02-09,475.07927751760144,278.75783274455154
2024-02-12,478.02447217717514,278.45057777820733
2024-02-13,509.32630524843756,291.79638656943905
2024-02-14,504.62584609016443,288.9789737083439
2024-02-15,517.7957168143619,296.55887832429795
2024-02-16,531.2663117024616,305.4407654917598
2024-02-19,539.701830696074,310.1893711124056
2024-02-20,548.6500619210215,311.2498805984117
2024-02-21,556.9458324442611,316.6269093095233
2024-02-22,552.3440033870302,301.82664930048867
2024-02-23,542.8905848691304,301.4038604360415
2024-02-26,558.2073036809679,301.04529394036007
2024-02-27,578.5240851632849,308.2199555359705
2024-02-28,577.0960153768411,312.171583360696
2024-02-29,565.2967286533112,306.6406701078162
2024-03-01,547.5682793788282,307.5359557139747
2024-03-04,534.5251644569822,300.4756231290743
2024-03-05,542.2453409051612,303.4477977583778
2024-03-06,546.6719344453627,302.1788832198707
2024-03-07,554.0248143992204,299.49826187185164
2024-03-08,566.6764154627023,304.82635308382737
2024-03-11,564.3232977775392,301.486989998887
2024-03-12,567.8559738381247,308.9220649759658
2024-03-13,567.2199695640813,304.44715989899464
2024-03-14,581.2020786633685,310.29227240870443
2024-03-15,603.4331587696882,321.18054371741215
2024-03-18,614.916728042965,322.5246054387684
2024-03-19,623.9443150760677,332.8945421204079
2024-03-20,611.4117215274869,335.8976942627552
2024-03-21,580.6645350408287,327.3934853235124
2024-03-22,594.387451611853,338.7836588600775
2024-03-25,617.5271247054131,342.9831606257839
2024-03-26,611.7909455042185,341.0907521825174
2024-03-27,607.2748565845557,336.9883072199927
2024-03-28,594.4122649643025,334.8909179709895
2024-04-02,588.4435687876085,332.39963114486704
2024-04-03,590.7527864403488,332.4924930161751
2024-04-04,582.0419126417461,330.895040976245
2024-04-05,595.0976269303529,333.9650095855004
2024-04-08,595.3412354758425,328.97785271356497
2024-04-09,620.3017290901546,338.81596226699816
2024-04-10,600.8773558025374,327.9735088225604
2024-04-11,609.4356504964063,333.9011347513519
2024-04-12,613.1966808172729,337.8183393706153
2024-04-15,600.8612714324885,333.7440836389186
2024-04-16,594.8605051654926,328.76497842359186
2024-04-17,599.0188967549417,323.38754076289644
2024-04-18,600.4646966894481,327.60384244138595
2024-04-19,598.0787976057723,326.56622983001967
2024-04-22,593.4057012927599,326.54823337068086
2024-04-23,597.9761238453567,328.913426378798
2024-04-24,603.8849558490657,326.00365101870653
2024-04-25,589.6524402318544,316.63117001675784
2024-04-26,580.2573582311479,308.4525109763279
2024-04-29,593.5881983955071,309.9012597125442
2024-04-30,582.5388951885773,306.88146456396544
2024-05-02,574.4475752400873,305.4510598384998
2024-05-03,594.6108462661539,306.25961053401517
2024-05-06,598.37305082371,307.8964799624811
2024-05-07,619.2147883198624,311.4916742184055
2024-05-08,646.7680151891482,321.15141612938964
2024-05-10,662.3044177647809,333.31366075267437
2024-05-13,657.8299709058407,340.81004126138293
2024-05-14,663.3094153951524,335.2758532654635
2024-05-15,655.6476266526075,332.9256393126909
2024-05-16,635.7847775082232,325.35017722571075
2024-05-17,617.0079687208047,327.68211902949935
2024-05-21,619.205519645373,334.0395923268003
2024-05-22,636.3180694419017,337.39254997805716
2024-05-23,643.702365673966,341.7664256945982
2024-05-24,664.0626527926421,345.10535599378477
2024-05-27,679.6273672822302,350.85280120374495
2024-05-28,714.5280823452042,363.116096956894
2024-05-29,714.2102377494436,361.983650227706
2024-05-30,715.4128406215226,361.1962131260301
2024-05-31,730.5411273045703,379.9143548402687
2024-06-03,754.0976176029302,377.8445483671611
2024-06-04,739.7084321242949,377.2728109189676
2024-06-05,727.7571139670345,374.1890947498021
2024-06-06,743.8384120496985,393.63100652863614
2024-06-07,745.8192604644918,392.4602845833266
2024-06-10,735.9387528394449,386.85131203244265
2024-06-11,755.9953903647028,394.90523091136436
2024-06-12,767.8288868669849,390.9346302340658
2024-06-13,778.0530156203857,385.9885280031984
2024-06-14,774.4558985797405,376.33215288768474
2024-06-17,771.8396107455239,374.8401840448528
2024-06-18,760.7330098783095,362.46252840428735
2024-06-19,737.0289144267596,354.0467568982042
2024-06-20,766.1192408398146,368.1084312496744
2024-06-21,787.1923220609036,378.2164859520976
2024-06-24,775.3439118391062,367.37082182899377
2024-06-25,793.1062400163146,366.88082941953945
2024-06-26,783.9113977384919,362.7523866217572
2024-06-27,791.503630110256,364.24130874258157
2024-06-28,825.6756217037653,385.1550703546245
2024-07-01,806.5130202492567,380.9377759246618
2024-07-02,814.2264370777445,386.9264085676504
2024-07-03,804.5751683581467,387.938153995166
2024-07-04,794.5674300544634,389.93712159515877
2024-07-05,802.3584502853975,395.2764744510415
2024-07-08,825.7881996941327,398.10819911910914
2024-07-09,832.1750428998495,397.64490690550133
2024-07-10,831.411976027002,405.95988723102744
2024-07-11,818.0089602037148,410.5444090360527
2024-07-12,823.3516415259384,408.61712451382346
2024-07-15,825.6930136259189,408.0751752477494
2024-07-16,817.8707918320537,401.3549375552137
2024-07-17,859.5539961046637,411.40555001429067
2024-07-18,835.6944548061773,399.932396755014
2024-07-19,802.0061998488014,395.04128972714994
2024-07-22,810.5152919026705,410.8012654177361
2024-07-23,783.2637952185419,392.63521214811516
2024-07-24,787.3712210072176,403.33683838215325
2024-07-25,777.5172043776214,394.66839801420616
2024-07-26,801.0794697150582,408.3183854686366
2024-07-29,813.8148019208854,399.42418150105215
2024-07-30,846.5659266581697,409.89622340522175
