"Date","Price","Open","High","Low","Change %"
"06/10/2023","1.580","1.610","1.610","1.570","0.00%"
"06/09/2023","1.580","1.150","1.780","1.150","5.33%"
"06/08/2023","1.500","1.150","1.730","1.150","2.74%"
"06/07/2023","1.460","1.150","1.610","1.150","0.00%"
"06/06/2023","1.460","1.040","1.630","1.040","0.00%"
"06/05/2023","1.460","1.150","1.620","1.150","0.00%"
"06/04/2023","1.460","1.460","1.460","1.460","0.00%"
"06/03/2023","1.460","1.460","1.460","1.460","-2.67%"
"06/02/2023","1.500","1.150","1.610","1.150","-1.32%"
"06/01/2023","1.520","1.150","1.610","1.150","3.40%"
"05/31/2023","1.470","1.150","1.530","1.150","1.38%"
"05/30/2023","1.450","1.150","1.600","1.150","2.11%"
"05/29/2023","1.420","1.450","1.470","1.400","0.00%"
"05/28/2023","1.420","1.410","1.470","1.410","23.48%"
"05/27/2023","1.150","1.410","1.410","1.080","0.00%"
"05/26/2023","1.150","1.080","1.590","1.080","-19.01%"
"05/25/2023","1.420","1.150","1.500","1.150","1.43%"
"05/24/2023","1.400","1.150","1.520","1.150","-5.41%"
"05/23/2023","1.480","1.180","1.510","1.150","5.71%"
"05/22/2023","1.400","1.150","1.540","1.150","-0.71%"
"05/21/2023","1.410","1.380","1.410","1.370","2.17%"
"05/20/2023","1.380","1.370","1.410","1.370","0.00%"
"05/19/2023","1.380","1.150","1.510","1.150","-1.43%"
"05/18/2023","1.400","1.150","1.400","1.150","2.19%"
"05/17/2023","1.370","1.150","1.460","1.150","0.74%"
"05/16/2023","1.360","1.290","1.440","1.290","0.00%"
"05/15/2023","1.360","1.150","1.440","1.150","0.00%"
"05/14/2023","1.360","1.290","1.360","1.150","18.26%"
"05/13/2023","1.150","1.290","1.290","1.150","-16.06%"
"05/12/2023","1.370","0.940","1.440","0.940","-2.14%"
"05/11/2023","1.400","0.930","1.440","0.930","3.70%"
"05/10/2023","1.350","1.150","1.410","1.150","7.14%"
"05/09/2023","1.260","1.270","1.420","1.150","-7.35%"
"05/08/2023","1.360","1.250","1.410","1.250","0.00%"
