"Date","Price","Open","High","Low","Change %"
"10/27/2022","0.732","0.888","0.925","0.732","-15.18%"
"10/26/2022","0.863","0.915","0.944","0.851","-1.60%"
"10/25/2022","0.877","0.900","0.947","0.865","-7.59%"
"10/24/2022","0.949","0.889","0.959","0.870","-3.06%"
"10/21/2022","0.979","1.066","1.068","0.952","-0.51%"
"10/20/2022","0.984","1.030","1.034","0.947","1.55%"
"10/19/2022","0.969","0.975","0.982","0.945","6.84%"
"10/18/2022","0.907","0.950","0.977","0.901","-5.22%"
"10/17/2022","0.957","0.951","0.966","0.916","-5.06%"
"10/14/2022","1.008","0.959","1.008","0.897","-1.75%"
"10/13/2022","1.026","1.088","1.100","0.966","-5.61%"
"10/12/2022","1.087","1.143","1.143","1.085","-3.21%"
"10/11/2022","1.123","1.215","1.225","1.121","-5.23%"
"10/10/2022","1.185","1.079","1.199","1.024","8.62%"
"10/07/2022","1.091","0.988","1.097","0.988","16.06%"
"10/06/2022","0.940","0.816","0.940","0.808","15.76%"
"10/05/2022","0.812","0.676","0.832","0.676","18.71%"
"10/04/2022","0.684","0.740","0.746","0.583","-7.19%"
"10/03/2022","0.737","0.948","0.948","0.737","-21.68%"
"09/30/2022","0.941","0.982","0.982","0.905","-6.46%"
"09/29/2022","1.006","1.127","1.129","0.992","-11.29%"
"09/28/2022","1.134","1.272","1.306","1.040","-10.78%"
"09/27/2022","1.271","1.323","1.323","1.127","2.75%"
"09/26/2022","1.237","1.314","1.314","1.217","3.51%"
"09/23/2022","1.195","1.210","1.284","1.109","-2.92%"
"09/22/2022","1.231","1.215","1.275","1.073","3.53%"
"09/21/2022","1.189","1.132","1.200","1.103","1.97%"
"09/20/2022","1.166","1.037","1.166","1.005","15.45%"
"09/19/2022","1.010","1.006","1.010","0.959","-7.08%"
"09/16/2022","1.087","1.003","1.087","0.987","10.92%"
"09/15/2022","0.980","0.942","1.019","0.942","6.18%"
"09/14/2022","0.923","1.010","1.091","0.923","-3.95%"
"09/13/2022","0.961","0.840","1.011","0.840","15.37%"
"09/12/2022","0.833","0.849","0.869","0.833","0.97%"
"09/09/2022","0.825","0.801","0.881","0.783","9.71%"
"09/08/2022","0.752","0.649","0.842","0.649","9.78%"
